[2020-01-28 14:47:56] [Info] Disconnect r4---sn-a5meknll.googlevideo.com:443
[2020-01-28 14:48:24] [Info] Disconnect r4---sn-a5meknll.googlevideo.com:443
[2020-01-28 14:48:27] [Info] Disconnect r4---sn-a5meknll.googlevideo.com:443
[2020-01-28 14:48:36] [Info] Disconnect clients4.google.com:443
[2020-01-28 14:48:54] [Info] Connect raw.githubusercontent.com:443
[2020-01-28 14:48:54] [Info] Disconnect www.google.com:443
[2020-01-28 14:49:14] [Info] Disconnect yt3.ggpht.com:443
[2020-01-28 14:49:38] [Info] Disconnect clients1.google.com:443
[2020-01-28 14:49:40] [Info] Disconnect clients1.google.com:443
[2020-01-28 14:49:40] [Info] Disconnect i.ytimg.com:443
[2020-01-28 14:49:42] [Info] Disconnect s.ytimg.com:443
[2020-01-28 14:50:00] [Info] Disconnect google.com:443
[2020-01-28 14:50:04] [Info] Disconnect clients4.google.com:443
[2020-01-28 14:50:08] [Info] Disconnect www.youtube.com:443
[2020-01-28 14:50:37] [Info] Disconnect raw.githubusercontent.com:443
[2020-01-28 14:50:37] [Info] Connect clients1.google.com:443
[2020-01-28 14:50:38] [Info] Disconnect 176.122.165.96:9999
[2020-01-28 14:50:57] [Info] Disconnect 176.122.165.96:9999
[2020-01-28 14:51:17] [Info] Disconnect 176.122.165.96:9999
[2020-01-28 14:51:24] [Info] Disconnect 176.122.165.96:9999
[2020-01-28 14:52:39] [Info] Disconnect clients1.google.com:443
[2020-01-28 14:57:37] [Info] Connect clients4.google.com:443
[2020-01-28 14:57:37] [Info] Disconnect webadvisorc.rest.gti.mcafee.com:443
[2020-01-28 14:57:42] [Info] Connect clients4.google.com:443
[2020-01-28 14:59:52] [Info] Connect clients1.google.com:443
[2020-01-28 15:00:37] [Info] Connect clients4.google.com:443
[2020-01-28 15:00:43] [Info] Connect clients4.google.com:443
[2020-01-28 15:01:57] [Info] Disconnect clients1.google.com:443
[2020-01-28 15:02:10] [Info] Disconnect clients4.google.com:443
[2020-01-28 15:02:46] [Info] Disconnect clients4.google.com:443
[2020-01-28 15:03:10] [Info] Connect clients1.google.com:443
[2020-01-28 15:03:42] [Info] Connect www.google.com:443
[2020-01-28 15:03:53] [Info] Disconnect www.google.com:443
[2020-01-28 15:04:36] [Info] Connect www.youtube.com:443
[2020-01-28 15:06:24] [Info] Disconnect clients1.google.com:443
[2020-01-28 15:06:34] [Info] Connect clients4.google.com:443
[2020-01-28 15:06:36] [Info] Connect www.google.com:443
[2020-01-28 15:06:46] [Info] Disconnect www.youtube.com:443
[2020-01-28 15:06:48] [Info] Disconnect www.google.com:443
[2020-01-28 15:06:58] [Info] Connect www.google.com:443
[2020-01-28 15:07:09] [Info] Disconnect www.google.com:443
[2020-01-28 15:08:11] [Info] Connect clients2.google.com:443
[2020-01-28 15:10:14] [Info] Disconnect clients4.google.com:443
[2020-01-28 15:10:23] [Info] Disconnect clients2.google.com:443
[2020-01-28 15:16:58] [Info] Connect www.youtube.com:443
[2020-01-28 15:19:02] [Info] Disconnect www.youtube.com:443
[2020-01-28 15:21:05] [Info] Connect www.google.com:443
[2020-01-28 15:21:05] [Info] Connect www.google.com:443
[2020-01-28 15:21:05] [Info] Connect www.google.com:443
[2020-01-28 15:21:05] [Info] Connect www.google.com:443
[2020-01-28 15:21:06] [Info] Disconnect www.google.com:443
[2020-01-28 15:21:06] [Info] Disconnect www.google.com:443
[2020-01-28 15:21:19] [Info] Connect clients4.google.com:443
[2020-01-28 15:21:23] [Info] Connect clients1.google.com:443
[2020-01-28 15:21:24] [Info] Direct connect adservice.google.com:443
[2020-01-28 15:21:25] [Info] Direct connect www.gstatic.com:443
